Image_name,labels
35.jpg,0
20_2.jpg,0
6_2.jpg,0
25.jpg,0
P43_1.jpg,1
P37_3.jpg,1
27_1.jpg,0
41_1.jpg,0
38.jpg,0
a3.jpg,1
P7_3.jpg,1
P7_2.jpg,1
32_1.jpg,0
P37_1.jpg,1
P29_1.jpg,1
76_1.jpg,0
37_1.jpg,0
12.jpg,0
22_1.jpg,0
15_1.jpg,0
a24_2.jpg,1
j7_2.jpg,1
70_1.jpg,0
39.jpg,0
P5_2.jpg,1
j1.jpg,1
17_2.jpg,0
a5.jpg,1
37.jpg,0
a23_1.jpg,1
59_1.jpg,0
2_2.jpg,0
20_1.jpg,0
j6_1.jpg,1
P13_2.jpg,1
j3.jpg,1
65_1.jpg,0
62_1.jpg,0
P28_3.jpg,1
29_1.jpg,0
72_1.jpg,0
33_1.jpg,0
P17_2.jpg,1
P36_2.jpg,1
P6_1.jpg,1
a25_2.jpg,1
23_2.jpg,0
43_1.jpg,0
P19_1.jpg,1
75_2.jpg,0
9_1.jpg,0
P9_3.jpg,1
28_1.jpg,0
22_2.jpg,0
21_2.jpg,0
P5_1.jpg,1
P7_1.jpg,1
21_1.jpg,0
P34_1.jpg,1
45_1.jpg,0
P33_1.jpg,1
P19_2.jpg,1
75_1.jpg,0
a13_1.jpg,1
a19.jpg,1
P4_1.jpg,1
4_5.jpg,0
P6_2.jpg,1
11_1.jpg,0
P28_1.jpg,1
P8_2.jpg,1
81_1.jpg,0
P28_2.jpg,1
a17.jpg,1
P18_1.jpg,1
73_1.jpg,0
P38_2.jpg,1
18.jpg,0
4_3.jpg,0
a2.jpg,1
a23_2.jpg,1
80_1.jpg,0
28.jpg,0
P42_1.jpg,1
77_1.jpg,0
67_1.jpg,0
P36_1.jpg,1
60_1.jpg,0
9.jpg,0
j6_2.jpg,1
78_1.jpg,0
j7_1.jpg,1
3_1.jpg,0
P13_1.jpg,1
27.jpg,0
24_1.jpg,0
30_1.jpg,0
2.jpg,0
a22_2.jpg,1
7.jpg,0
79_1.jpg,0
31_1.jpg,0
P9_2.jpg,1
P35_2.jpg,1
a8_1.jpg,1
36.jpg,0
P24_2.jpg,1
20.jpg,0
70_2.jpg,0
63_1.jpg,0
34.jpg,0
P33_2.jpg,1
6_1.jpg,0
a20.jpg,1
P4_2.jpg,1
69_1.jpg,0
a1.jpg,1
23.jpg,0
3.jpg,0
P35_3.jpg,1
5.jpg,0
16_1.jpg,0
P38_1.jpg,1
a14_2.jpg,1
j2.jpg,1
19_2.jpg,0
a9.jpg,1
15.jpg,0
35_1.jpg,0
38_1.jpg,0
P19_3.jpg,1
4_1.jpg,0
13_1.jpg,0
P21_1.jpg,1
61_1.jpg,0
4_4.jpg,0
47_1.jpg,0
17.jpg,0
1_1.jpg,0
16.jpg,0
69_2.jpg,0
54_1.jpg,0
26_1.jpg,0
40.jpg,0
42_1.jpg,0
P8_1.jpg,1
19.jpg,0
P24_1.jpg,1
P18_2.jpg,1
P9_4.jpg,1
a4_1.jpg,1
j8_1.jpg,1
P37_2.jpg,1
P3_3.jpg,1
pos_image_1.png,1
pos_image_2.png,1
pos_image_3.png,1
pos_image_4.png,1
pos_image_5.png,1
pos_image_6.png,1
pos_image_7.png,1
pos_image_8.png,1
pos_image_9.png,1
pos_image_10.png,1
pos_image_11.png,1
pos_image_12.png,1
pos_image_13.png,1
pos_image_14.png,1
pos_image_15.png,1
pos_image_16.png,1
pos_image_17.png,1
pos_image_18.png,1
pos_image_19.png,1
pos_image_20.png,1
pos_image_21.png,1
pos_image_22.png,1
pos_image_23.png,1
pos_image_24.png,1
pos_image_25.png,1
pos_image_26.png,1
pos_image_27.png,1
pos_image_28.png,1
pos_image_29.png,1
pos_image_30.png,1
pos_image_31.png,1
pos_image_32.png,1
pos_image_33.png,1
pos_image_34.png,1
pos_image_35.png,1
pos_image_36.png,1
pos_image_37.png,1
pos_image_38.png,1
pos_image_39.png,1
pos_image_40.png,1
pos_image_41.png,1
pos_image_42.png,1
pos_image_43.png,1
pos_image_44.png,1
pos_image_45.png,1
pos_image_46.png,1
pos_image_47.png,1
pos_image_48.png,1
pos_image_49.png,1
